NCT,PMID,biomarker_name,Authors,Year
NCT00094653,20525992,NONE,Hodi FS et al,2010
NCT00094653,20525992,NONE,Hodi FS et al (1),2010
NCT00094653,20525992,NONE,McDermott D et al,2013
NCT00094653,20525992,NONE,McDermott D et al (1),2013
NCT02130466,31171878,NONE,Ascierto PA et al,2019
NCT02130466,31171878,NONE,Ferrucci PF et al,2020
NCT01721772,25399552,NONE,Robert C et al,2015
NCT01721772,25399552,NONE,Ascierto PA et al,2019
NCT01721772,25399552,NONE,Robert C et al,2020
NCT01721772,30422243,NONE,Robert C et al,2015
NCT01721772,30422243,NONE,Ascierto PA et al,2019
NCT01721772,30422243,NONE,Robert C et al,2020
NCT02908672,32534646,NONE,Gutzmer R et al,2020
NCT00094653,23942774,NONE,Hodi FS et al,2010
NCT00094653,23942774,NONE,Hodi FS et al (1),2010
NCT00094653,23942774,NONE,McDermott D et al,2013
NCT00094653,23942774,NONE,McDermott D et al (1),2013
NCT01721772,32997575,NONE,Robert C et al,2015
NCT01721772,32997575,NONE,Ascierto PA et al,2019
NCT01721772,32997575,NONE,Robert C et al,2020
NCT02130466,33361337,NONE,Ascierto PA et al,2019
NCT02130466,33361337,NONE,Ferrucci PF et al,2020
