NCT,PMID,cancer_type,ici_target,Authors,Year
NCT02302807,29268948,Bladder Cancer,PD-L1,Powles T et al,2018
NCT02256436,28212060,Bladder Cancer,PD-1,Bellmunt J et al,2017
NCT02256436,28212060,Bladder Cancer,PD-1,Fradet Y et al,2019
NCT02256436,31050707,Bladder Cancer,PD-1,Bellmunt J et al,2017
NCT02256436,31050707,Bladder Cancer,PD-1,Fradet Y et al,2019
NCT02425891,30345906,Breast Cancer,PD-L1,Schmid P et al,2018
NCT02425891,30345906,Breast Cancer,PD-L1,Schmid P et al,2019
NCT02685059,31095287,Breast Cancer,PD-L1,Loibl S et al,2019
NCT02788279,31003911,Colorectal Cancer,PD-L1,Eng C et al,2019
NCT02788279,31003911,Colorectal Cancer,PD-L1,Eng C et al (1),2019
NCT02788279,31003911,Colorectal Cancer,PD-L1,Eng C et al,2019
NCT02788279,31003911,Colorectal Cancer,PD-L1,Eng C et al (1),2019
NCT01585987,28655793,Gastric Cancer,CTLA-4,Bang YJ et al,2017
NCT02267343,28993052,Gastric Cancer,PD-1,Kang YK et al,2017
NCT02267343,28993052,Gastric Cancer,PD-1,Chen LT et al,2019
NCT02625623,30052729,Gastric Cancer,PD-L1,Bang YJ et al,2018
NCT02370498,29880231,Gastric Cancer,PD-1,Shitara K et al,2018
NCT02252042,30509740,Head and Neck Cancer,PD-1,Cohen EEW et al,2018
NCT02105636,27718784,Head and Neck Cancer,PD-1,Ferris RL et al,2016
NCT02105636,27718784,Head and Neck Cancer,PD-1,Ferris RL et al,2018
NCT02105636,29884413,Head and Neck Cancer,PD-1,Ferris RL et al,2016
NCT02105636,29884413,Head and Neck Cancer,PD-1,Ferris RL et al,2018
NCT01668784,26406148,Renal Cell Carcinoma,PD-1,Motzer RJ et al,2015
NCT01668784,26406148,Renal Cell Carcinoma,PD-1,Motzer RJ et al,2020
NCT01984242,29867230,Renal Cell Carcinoma,PD-L1,McDermott DF et al,2018
NCT01984242,29867230,Renal Cell Carcinoma,PD-L1,McDermott DF et al (1),2018
NCT01984242,29867230,Renal Cell Carcinoma,PD-L1,McDermott DF et al,2018
NCT01984242,29867230,Renal Cell Carcinoma,PD-L1,McDermott DF et al (1),2018
NCT02231749,29562145,Renal Cell Carcinoma,PD-1,Motzer RJ et al,2018
NCT02231749,29562145,Renal Cell Carcinoma,PD-1,Motzer RJ et al,2019
NCT02231749,29562145,Renal Cell Carcinoma,PD-1,Motzer RJ et al,2020
NCT02231749,31427204,Renal Cell Carcinoma,PD-1,Motzer RJ et al,2018
NCT02231749,31427204,Renal Cell Carcinoma,PD-1,Motzer RJ et al,2019
NCT02231749,31427204,Renal Cell Carcinoma,PD-1,Motzer RJ et al,2020
NCT02684006,30779531,Renal Cell Carcinoma,PD-L1,Motzer RJ et al,2019
NCT02684006,30779531,Renal Cell Carcinoma,PD-L1,Choueiri TK et al,2020
NCT02853331,30779529,Renal Cell Carcinoma,PD-1,Rini BI et al,2019
NCT02853331,30779529,Renal Cell Carcinoma,PD-1,Powles T et al. ,2020
NCT02420821,31079938,Renal Cell Carcinoma,PD-L1,Rini BI et al,2019
NCT00527735,22547592,Lung Cancer,CTLA-4,Lynch TJ et al,2012
NCT00527735,22547592,Lung Cancer,CTLA-4,Lynch TJ et al (1),2012
NCT00527735,22547592,Lung Cancer,CTLA-4,Reck M et al,2012
NCT00527735,22547592,Lung Cancer,CTLA-4,Reck M et al (1),2012
NCT00527735,22547592,Lung Cancer,CTLA-4,Lynch TJ et al,2012
NCT00527735,22547592,Lung Cancer,CTLA-4,Lynch TJ et al (1),2012
NCT00527735,22547592,Lung Cancer,CTLA-4,Reck M et al,2012
NCT00527735,22547592,Lung Cancer,CTLA-4,Reck M et al (1),2012
NCT00527735,22858559,Lung Cancer,CTLA-4,Lynch TJ et al,2012
NCT00527735,22858559,Lung Cancer,CTLA-4,Lynch TJ et al (1),2012
NCT00527735,22858559,Lung Cancer,CTLA-4,Reck M et al,2012
NCT00527735,22858559,Lung Cancer,CTLA-4,Reck M et al (1),2012
NCT00527735,22858559,Lung Cancer,CTLA-4,Lynch TJ et al,2012
NCT00527735,22858559,Lung Cancer,CTLA-4,Lynch TJ et al (1),2012
NCT00527735,22858559,Lung Cancer,CTLA-4,Reck M et al,2012
NCT00527735,22858559,Lung Cancer,CTLA-4,Reck M et al (1),2012
NCT01673867,26412456,Lung Cancer,PD-1,Borghaei  H et al,2015
NCT01642004,26028407,Lung Cancer,PD-1,Brahmer J et al,2015
NCT01905657,26712084,Lung Cancer,PD-1,Herbst RS et al,2016
NCT01905657,26712084,Lung Cancer,PD-1,Herbst RS et al (1),2016
NCT01905657,26712084,Lung Cancer,PD-1,Herbst RS et al,2016
NCT01905657,26712084,Lung Cancer,PD-1,Herbst RS et al (1),2016
NCT01903993,26970723,Lung Cancer,PD-L1,Fehrenbacher L et al,2016
NCT01903993,26970723,Lung Cancer,PD-L1,Mazieres J et al,2020
NCT01450761,27458307,Lung Cancer,CTLA-4,Reck M et al,2016
NCT02041533,28636851,Lung Cancer,PD-1,Carbone DP et al,2017
NCT01285609,28854067,Lung Cancer,CTLA-4,Govindan R et al,2017
NCT02125461,28885881,Lung Cancer,PD-L1,Antonia SJ et al,2017
NCT02125461,28885881,Lung Cancer,PD-L1,Antonia SJ et al,2018
NCT02125461,30280658,Lung Cancer,PD-L1,Antonia SJ et al,2017
NCT02125461,30280658,Lung Cancer,PD-L1,Antonia SJ et al,2018
NCT02395172,30262187,Lung Cancer,PD-L1,Barlesi F et al,2018
NCT02039674,27745820,Lung Cancer,PD-1,Langer JC et al,2016
NCT02039674,27745820,Lung Cancer,PD-1,Borghaei  H et al,2018
NCT02039674,30138764,Lung Cancer,PD-1,Langer JC et al,2016
NCT02039674,30138764,Lung Cancer,PD-1,Borghaei  H et al,2018
NCT02008227,27979383,Lung Cancer,PD-L1,Rittmeyer A et al,2017
NCT02008227,27979383,Lung Cancer,PD-L1,Fehrenbacher L et al,2018
NCT02008227,27979383,Lung Cancer,PD-L1,Mazieres J et al,2020
NCT02008227,29777823,Lung Cancer,PD-L1,Rittmeyer A et al,2017
NCT02008227,29777823,Lung Cancer,PD-L1,Fehrenbacher L et al,2018
NCT02008227,29777823,Lung Cancer,PD-L1,Mazieres J et al,2020
NCT02578680,29658856,Lung Cancer,PD-1,Gandhi L et al,2018
NCT02763579,30280641,Lung Cancer,PD-L1,Horn L et al,2018
NCT02763579,30280641,Lung Cancer,PD-L1,Mansfield AS et al,2020
NCT02775435,30280635,Lung Cancer,PD-1,Paz-Ares L et al,2018
NCT02366143,29863955,Lung Cancer,PD-L1,Socinski MA et al,2018
NCT02366143,29863955,Lung Cancer,PD-L1,Socinski MA et al (1),2018
NCT02366143,29863955,Lung Cancer,PD-L1,Socinski MA et al,2018
NCT02366143,29863955,Lung Cancer,PD-L1,Socinski MA et al (1),2018
NCT02477826,29658845,Lung Cancer,PD-1,Hellmann MD et al,2018
NCT02477826,29658845,Lung Cancer,PD-1,Hellmann MD et al (1),2018
NCT02477826,29658845,Lung Cancer,PD-1,Hellmann MD et al,2019
NCT02477826,29658845,Lung Cancer,PD-1,Hellmann MD et al (1),2019
NCT02477826,29658845,Lung Cancer,PD-1,Hellmann MD et al (2),2019
NCT02477826,29658845,Lung Cancer,PD-1,Hellmann MD et al,2018
NCT02477826,29658845,Lung Cancer,PD-1,Hellmann MD et al (1),2018
NCT02477826,29658845,Lung Cancer,PD-1,Hellmann MD et al,2019
NCT02477826,29658845,Lung Cancer,PD-1,Hellmann MD et al (1),2019
NCT02477826,29658845,Lung Cancer,PD-1,Hellmann MD et al (2),2019
NCT02477826,31562796,Lung Cancer,PD-1,Hellmann MD et al,2018
NCT02477826,31562796,Lung Cancer,PD-1,Hellmann MD et al (1),2018
NCT02477826,31562796,Lung Cancer,PD-1,Hellmann MD et al,2019
NCT02477826,31562796,Lung Cancer,PD-1,Hellmann MD et al (1),2019
