NCT,Authors,Year,PMID,Cancer type,Treatment regimen,cancer_type_from_regimen
NCT02302807,Powles T et al,2018,29268948,Bladder,Atezolizumab,Bladder
NCT02256436,Bellmunt J et al,2017,28212060,Bladder,Pembrolizumab,Bladder
NCT02256436,Fradet Y et al,2019,31050707,Bladder,Pembrolizumab,Bladder
NCT02425891,Schmid P et al,2018,30345906,Breast,Atezolizumab+Nab-paclitaxel,Breast
NCT02685059,Loibl S et al,2019,31095287,Breast,Durvalumab+Nab-paclitaxel+epirubicin+cyclophosphamide,Breast
NCT02788279,Eng C et al,2019,31003911,Colorectal,Atezolizumab+Cobimetinib,UNKNOWN
NCT02788279,Eng C et al,2019,31003911,Colorectal,Atezolizumab+Cobimetinib,UNKNOWN
NCT02788279,Eng C et al (1),2019,31003911,Colorectal,Atezolizumab,UNKNOWN
NCT02788279,Eng C et al (1),2019,31003911,Colorectal,Atezolizumab,UNKNOWN
NCT01585987,Bang YJ et al,2017,28655793,Gastric/GEJ,Ipilimumab,UNKNOWN
NCT02267343,Kang YK et al,2017,28993052,Gastric/GEJ,Nivolumab,UNKNOWN
NCT02625623,Bang YJ et al,2018,30052729,Gastric/GEJ,Avelumab,UNKNOWN
NCT02370498,Shitara K et al,2018,29880231,Gastric/GEJ,Pembrolizumab,UNKNOWN
NCT02252042,Cohen EEW et al,2018,30509740,Head and Neck ,Pembrolizumab,UNKNOWN
NCT02105636,Ferris RL et al,2016,27718784,Head and Neck,Nivolumab,Head and Neck
NCT02105636,Ferris RL et al,2018,29884413,Head and Neck,Nivolumab,UNKNOWN
NCT01668784,Motzer RJ et al,2015,26406148,Renal cell,Nivolumab,UNKNOWN
NCT01984242,McDermott DF et al,2018,29867230,Renal cell,Atezolizumab,UNKNOWN
NCT01984242,McDermott DF et al,2018,29867230,Renal cell,Atezolizumab,Renal cell
NCT01984242,McDermott DF et al (1),2018,29867230,Renal cell,Atezolizumab+Bevacizumab,UNKNOWN
NCT01984242,McDermott DF et al (1),2018,29867230,Renal cell,Atezolizumab+Bevacizumab,Renal cell
NCT02231749,Motzer RJ et al,2018,29562145,Renal cell,Nivolumab+Ipilimumab,UNKNOWN
NCT02231749,Motzer RJ et al,2019,31427204,Renal cell,Nivolumab+Ipilimumab,Renal cell
NCT02684006,Motzer RJ et al,2019,30779531,Renal cell,Avelumab+Axitinib,Renal cell
NCT02853331,Rini BI et al,2019,30779529,Renal cell,Pembrolizumab+Axitinib,Renal cell
NCT02420821,Rini BI et al,2019,31079938,Renal cell,Atezolizumab+Bevacizumab,Renal cell
NCT00527735,Lynch TJ et al,2012,22547592,Non-Small Cell Lung,Concurrent ipilimumab+Paclitaxel+Carboplatin,Non-Small Cell Lung
NCT00527735,Lynch TJ et al,2012,22547592,Non-Small Cell Lung,Concurrent ipilimumab+Paclitaxel+Carboplatin,UNKNOWN
NCT00527735,Lynch TJ et al (1),2012,22547592,Non-Small Cell Lung,Phased ipilimumab+Paclitaxel+Carboplatin,Non-Small Cell Lung
NCT00527735,Lynch TJ et al (1),2012,22547592,Non-Small Cell Lung,Phased ipilimumab+Paclitaxel+Carboplatin,UNKNOWN
NCT00527735,Reck M et al,2012,22858559,Small Cell Lung,Concurrent ipilimumab+Paclitaxel+Carboplatin,Small Cell Lung
NCT00527735,Reck M et al,2012,22858559,Small Cell Lung,Concurrent ipilimumab+Paclitaxel+Carboplatin,Small Cell Lung
