NCT,PMID,cancer_type_normalized,treatment_regimen_normalized,Authors,Year
NCT02302807,29268948,bladder cancer,atezolizumab,Powles T et al,2018
NCT02256436,28212060,bladder cancer,pembrolizumab,Bellmunt J et al,2017
NCT02256436,28212060,bladder cancer,pembrolizumab,Fradet Y et al,2019
NCT02256436,31050707,bladder cancer,pembrolizumab,Bellmunt J et al,2017
NCT02256436,31050707,bladder cancer,pembrolizumab,Fradet Y et al,2019
NCT02425891,30345906,Breast Cancer,Atezolizumab + Nab-paclitaxel,Schmid P et al,2018
NCT02425891,30345906,Breast Cancer,Atezolizumab + Nab-paclitaxel,Schmid P et al,2019
NCT02685059,31095287,Breast Cancer,Durvalumab+Nab-paclitaxel+Epirubicin+Cyclophosphamide,Loibl S et al,2019
NCT02788279,31003911,Colorectal Cancer,Atezolizumab plus Cobimetinib,Eng C et al,2019
NCT02788279,31003911,Colorectal Cancer,Atezolizumab plus Cobimetinib,Eng C et al (1),2019
NCT02788279,31003911,Colorectal Cancer,Atezolizumab,Eng C et al,2019
NCT02788279,31003911,Colorectal Cancer,Atezolizumab,Eng C et al (1),2019
NCT01585987,28655793,gastric cancer,ipilimumab,Bang YJ et al,2017
NCT02267343,28993052,gastric cancer,nivolumab,Kang YK et al,2017
NCT02267343,28993052,gastric cancer,nivolumab,Chen LT et al,2019
NCT02625623,30052729,gastric cancer,avelumab,Bang YJ et al,2018
NCT02370498,29880231,gastric cancer,pembrolizumab,Shitara K et al,2018
NCT02252042,30509740,head and neck cancer,pembrolizumab,Cohen EEW et al,2018
NCT02105636,27718784,head and neck cancer,nivolumab,Ferris RL et al,2016
NCT02105636,27718784,head and neck cancer,nivolumab,Ferris RL et al,2018
NCT02105636,29884413,head and neck cancer,nivolumab,Ferris RL et al,2016
NCT02105636,29884413,head and neck cancer,nivolumab,Ferris RL et al,2018
NCT01668784,26406148,renal cell carcinoma,nivolumab,Motzer RJ et al,2015
NCT01668784,26406148,renal cell carcinoma,nivolumab,Motzer RJ et al,2020
NCT01984242,29867230,renal cell carcinoma,atezolizumab,McDermott DF et al,2018
NCT01984242,29867230,renal cell carcinoma,atezolizumab,McDermott DF et al (1),2018
NCT01984242,29867230,renal cell carcinoma,atezolizumab+bevacizumab,McDermott DF et al,2018
NCT01984242,29867230,renal cell carcinoma,atezolizumab+bevacizumab,McDermott DF et al (1),2018
NCT02231749,29562145,renal cell carcinoma,nivolumab+ipilimumab,Motzer RJ et al,2018
NCT02231749,29562145,renal cell carcinoma,nivolumab+ipilimumab,Motzer RJ et al,2019
NCT02231749,29562145,renal cell carcinoma,nivolumab+ipilimumab,Motzer RJ et al,2020
NCT02231749,31427204,renal cell carcinoma,nivolumab+ipilimumab,Motzer RJ et al,2018
NCT02231749,31427204,renal cell carcinoma,nivolumab+ipilimumab,Motzer RJ et al,2019
NCT02231749,31427204,renal cell carcinoma,nivolumab+ipilimumab,Motzer RJ et al,2020
NCT02684006,30779531,renal cell carcinoma,avelumab + axitinib,Motzer RJ et al,2019
NCT02684006,30779531,renal cell carcinoma,avelumab + axitinib,Choueiri TK et al,2020
NCT02853331,30779529,renal cell carcinoma,pembrolizumab+axitinib,Rini BI et al,2019
NCT02853331,30779529,renal cell carcinoma,pembrolizumab+axitinib,Powles T et al. ,2020
NCT02420821,31079938,renal cell carcinoma,atezolizumab + bevacizumab,Rini BI et al,2019
NCT00527735,22547592,Non-Small Cell Lung Cancer,ipilimumab+Paclitaxel+Carboplatin,Lynch TJ et al,2012
NCT00527735,22547592,Non-Small Cell Lung Cancer,ipilimumab+Paclitaxel+Carboplatin,Lynch TJ et al (1),2012
NCT00527735,22547592,Non-Small Cell Lung Cancer,ipilimumab+Paclitaxel+Carboplatin,Reck M et al,2012
NCT00527735,22547592,Non-Small Cell Lung Cancer,ipilimumab+Paclitaxel+Carboplatin,Reck M et al (1),2012
NCT00527735,22547592,Non-Small Cell Lung Cancer,ipilimumab+Paclitaxel+Carboplatin,Lynch TJ et al,2012
NCT00527735,22547592,Non-Small Cell Lung Cancer,ipilimumab+Paclitaxel+Carboplatin,Lynch TJ et al (1),2012
NCT00527735,22547592,Non-Small Cell Lung Cancer,ipilimumab+Paclitaxel+Carboplatin,Reck M et al,2012
NCT00527735,22547592,Non-Small Cell Lung Cancer,ipilimumab+Paclitaxel+Carboplatin,Reck M et al (1),2012
NCT00527735,22858559,Small Cell Lung Cancer,Concurrent ipilimumab+Paclitaxel+Carboplatin,Lynch TJ et al,2012
NCT00527735,22858559,Small Cell Lung Cancer,Concurrent ipilimumab+Paclitaxel+Carboplatin,Lynch TJ et al (1),2012
NCT00527735,22858559,Small Cell Lung Cancer,Concurrent ipilimumab+Paclitaxel+Carboplatin,Reck M et al,2012
NCT00527735,22858559,Small Cell Lung Cancer,Concurrent ipilimumab+Paclitaxel+Carboplatin,Reck M et al (1),2012
NCT00527735,22858559,Small Cell Lung Cancer,ipilimumab+Paclitaxel+Carboplatin,Lynch TJ et al,2012
NCT00527735,22858559,Small Cell Lung Cancer,ipilimumab+Paclitaxel+Carboplatin,Lynch TJ et al (1),2012
NCT00527735,22858559,Small Cell Lung Cancer,ipilimumab+Paclitaxel+Carboplatin,Reck M et al,2012
