NCT,Author,Year_x,PMID_x,Secondary endpoint,irAEs_assessed,Authors,Year_y,PMID_y
NCT02252042,Cohen EEW et al,2018,30509740,"OS in the population with 
a PD-L1 combined positive 
score of 1 or higher; safety, 
PFS,ORR, duration of 
confirmed response in all 
participants and those with a PD-L1 combined positive score of 1 or higher.",NO,Cohen EEW et al,2018,30509740
NCT02105636,Ferris RL et al,2018,29884413,"PFS, ORR",NO,Ferris RL et al,2016,27718784
NCT02105636,Ferris RL et al,2018,29884413,"PFS, ORR",NO,Ferris RL et al,2018,29884413
NCT02105636,Ferris RL et al,2016,27718784,"PFS, ORR",NO,Ferris RL et al,2016,27718784
NCT02105636,Ferris RL et al,2016,27718784,"PFS, ORR",NO,Ferris RL et al,2018,29884413
NCT02358031,Burtness B et al (1),2019,31679945,"Safety and tolerability; proportion of participants with objective response; proportion of participants who were progression-free at 6 and 12 months; change from baseline in global health status or quality of life; time to deterioration in global health status or quality of life, pain, and
swallowing.",NO,Burtness B et al,2019,31679945
NCT02358031,Burtness B et al (1),2019,31679945,"Safety and tolerability; proportion of participants with objective response; proportion of participants who were progression-free at 6 and 12 months; change from baseline in global health status or quality of life; time to deterioration in global health status or quality of life, pain, and
swallowing.",NO,Burtness B et al (1),2019,31679945
NCT02358031,Burtness B et al,2019,31679945,"Safety and tolerability; proportion of participants with objective response; proportion of participants who were progression-free at 6 and 12 months; change from baseline in global health status or quality of life; time to deterioration in global health status or quality of life, pain, and
swallowing.",NO,Burtness B et al,2019,31679945
NCT02358031,Burtness B et al,2019,31679945,"Safety and tolerability; proportion of participants with objective response; proportion of participants who were progression-free at 6 and 12 months; change from baseline in global health status or quality of life; time to deterioration in global health status or quality of life, pain, and
swallowing.",NO,Burtness B et al (1),2019,31679945
NCT02017717,Reardon DA et al,2020,32437507,OS rate at 12 months; investigator-assessed PFS and ORR.,NO,Reardon DA et al,2020,32437507
NCT02369874,Ferris RL et al (1),2020,32294530,"PFS, ORR, DOR",NO,Ferris RL et al,2020,32294530
NCT02369874,Ferris RL et al (1),2020,32294530,"PFS, ORR, DOR",NO,Ferris RL et al (1),2020,32294530
NCT02369874,Ferris RL et al,2020,32294530,"PFS, ORR, DOR",NO,Ferris RL et al,2020,32294530
NCT02369874,Ferris RL et al,2020,32294530,"PFS, ORR, DOR",NO,Ferris RL et al (1),2020,32294530
NCT02952586,Lee NY et al,2021,33794205,OS; ORR; DoR; path CR,"NO.

While the listed endpoints (OS, ORR, DoR, path CR) are all related to efficacy, they don't directly address the assessment of immune-related adverse events (irAEs). irAEs would typically be listed separately in the endpoints or within the safety/adverse events section of the clinical trial description.",Lee NY et al,2021,33794205
NCT02999087,Tao Y et al.,2021,33125944,Safety,"It is impossible to determine whether immune-related adverse events (irAEs) were explicitly assessed based solely on the secondary endpoint description ""Safety"". Safety is a broad category, and while irAEs *could* be included, it's not explicitly stated.
Therefore, the answer is NO.",Tao Y et al.,2021,33125944
