row_index,question,gt_status,gt_ms,gt_error,run1_status,run1_ms,run1_error,run2_status,run2_ms,run2_error,run3_status,run3_ms,run3_error,deterministic,pred_rows_last_run,results_equal_exact,rowcount_delta_pred_minus_gt,column_overlap_ratio,nct_precision,nct_recall,nct_f1,nct_jaccard,sql_token_jaccard_vs_gt
0,Show Melanoma trials that used ICI+Vaccine combinations.,ok,21.28899999661371,,ok,14.741499995579943,,ok,4.3941999902017415,,ok,4.062799998791888,,True,1,False,-1,0.0,,,,,0.14814814814814814
1,Show Melanoma trials with at least 2 prior lines of therapy that used combination treatment.,ok,11.663899989798665,,ok,2.764400007436052,,ok,4.9056000134442,,ok,4.099100013263524,,True,1,False,-1,0.0,,,,,0.07142857142857142
2,List Melanoma trials requiring a biomarker other than PD‑L1 for inclusion.,ok,4.568100004689768,,ok,2.9501999961212277,,ok,3.2174999942071736,,ok,2.584200003184378,,True,1,False,-9,0.0,,,,,0.06666666666666667
3,Show Ipilimumab combination trials in Melanoma with sample sizes.,ok,5.299400014337152,,ok,4.222699993988499,,ok,2.3495999921578914,,ok,2.374100004089996,,True,1,False,-2,0.0,,,,,0.13793103448275862
4,"Which Phase 3 CTLA-4 combination trials in Melanoma should I review, and what were their regimens?",ok,4.960999998729676,,ok,4.0197999915108085,,ok,2.667199994903058,,ok,2.2939000045880675,,True,1,False,-2,0.0,,,,,0.22857142857142856
5,"Which Non-Small Cell Lung studies tested ICI+Chemo combinations, and what were the primary endpoints?",ok,4.798200010554865,,ok,2.705000020796433,,ok,2.9875000182073563,,ok,4.036099999211729,,True,1,False,-12,0.0,,,,,0.25
6,Which Non-Small Cell Lung phase 2 trials compared ICI to Chemo?,ok,3.7742999847978354,,ok,2.842899993993342,,ok,3.9812000177334994,,ok,2.7424000145401806,,True,1,False,-8,0.0,,,,,0.25
7,"Which Phase 2 CTLA-4 combination trials in Non-Small Cell Lung should I review, and what were their regimens?",ok,4.355599987320602,,ok,2.047399990260601,,ok,3.27440002001822,,ok,2.487899997504428,,True,1,False,-1,0.0,,,,,0.2777777777777778
8,Which Small Cell Lung trials used Chemo as the control arm?,ok,5.445200018584728,,ok,4.342000000178814,,ok,2.5673000200185925,,ok,2.679999975953251,,True,1,False,-10,0.0,,,,,0.16666666666666666
9,Find Small Cell Lung trials with minimum follow‑up and show months by arm.,ok,4.753899993374944,,ok,3.385400021215901,,ok,2.4921000003814697,,ok,2.0773000142071396,,True,1,False,-2,0.0,,,,,0.1875
10,List Small Cell Lung trials requiring a biomarker other than PD‑L1 for inclusion.,ok,4.557900014333427,,ok,2.6579999830573797,,ok,2.7240999916102737,,ok,3.1522999925073236,,True,1,False,-13,0.0,,,,,0.125
11,Show Prostate CTLA-4 trials conducted in 2018 or later.,ok,4.452299996046349,,ok,2.5977000186685473,,ok,2.8201000241097063,,ok,3.372999985003844,,True,1,False,0,0.0,,,,,0.14285714285714285
12,Show Prostate trials with at least 2 prior lines of therapy that used combination treatment.,ok,3.8631000206805766,,ok,2.0477999933063984,,ok,2.142199984518811,,ok,3.0885000014677644,,True,1,False,-1,0.0,,,,,0.07142857142857142
13,List Prostate trials requiring a biomarker other than PD‑L1 for inclusion.,ok,3.5331000108271837,,ok,2.110700006596744,,ok,2.907799993408844,,ok,2.807500015478581,,True,1,False,-2,0.0,,,,,0.06666666666666667
14,List Breast trials requiring a biomarker other than PD‑L1 for inclusion.,ok,3.408399992622435,,ok,3.8379999750759453,,ok,2.8510000265669078,,ok,2.191900013713166,,True,1,False,-7,0.0,,,,,0.06666666666666667
15,List CTLA-4 trials that reported composite or co-primary endpoints.,ok,3.571799985365942,,ok,2.573700010543689,,ok,3.533500013872981,,ok,2.799200010485947,,True,1,False,-1,0.0,,,,,0.16666666666666666
16,Show Melanoma studies included in the meta‑analysis that used CTLA-4 agents.,ok,4.450900014489889,,ok,3.0374000198207796,,ok,2.8372000087983906,,ok,2.933300012955442,,True,1,False,-3,0.0,,,,,0.12121212121212122
17,Which Small Cell Lung phase 3 trials compared ICI to Chemo?,ok,4.201299976557493,,ok,3.3983000030275434,,ok,2.306300011696294,,ok,2.1006000170018524,,True,1,False,-7,0.0,,,,,0.22580645161290322
18,List Renal cell trials requiring a biomarker other than PD‑L1 for inclusion.,ok,4.874299978837371,,ok,3.7155000027269125,,ok,2.1791000035591424,,ok,2.1241999929770827,,True,1,False,-13,0.0,,,,,0.0967741935483871
19,Show Non-Small Cell Lung trials using PD1 where PD‑L1 positivity was an inclusion criterion.,ok,4.980500001693144,,ok,2.190400002291426,,ok,2.1351999894250184,,ok,2.1308000141289085,,True,1,False,-9,0.0,,,,,0.2
20,Find Phase 2 Pembrolizumab trials in Melanoma that were original publication publications.,ok,3.8135000213515013,,ok,2.966900006867945,,ok,2.630300004966557,,ok,2.8321999998297542,,True,1,False,-3,0.0,,,,,0.23333333333333334
21,Find Melanoma trials with minimum follow‑up and show months by arm.,ok,6.159599986858666,,ok,2.0195999823044986,,ok,2.234699990367517,,ok,3.404200018849224,,True,1,False,-3,0.0,,,,,0.13333333333333333
22,Show Pancreatic trials that used ICI+Vaccine combinations.,ok,3.354199987370521,,ok,3.060699993511662,,ok,2.7086999907623976,,ok,2.1303999819792807,,True,1,False,0,0.0,,,,,0.14814814814814814
23,"Which Phase 2 CTLA-4 combination trials in Pancreatic should I review, and what were their regimens?",ok,3.6684999940916896,,ok,2.3277000000234693,,ok,2.650099981110543,,ok,2.112599991960451,,True,1,False,0,0.0,,,,,0.23529411764705882
24,Find Phase 2 Atezolizumab trials in Non-Small Cell Lung that were original publication publications.,ok,3.328699996927753,,ok,2.283699985127896,,ok,3.116900013992563,,ok,2.187999984016642,,True,1,False,0,0.0,,,,,0.2727272727272727
