nct,author,year,originial_publication_or_follow_up,class_of_ici,priamry_multiple_composite_or_co_primary_endpoints,name_of_ici,primary_endpoint
NCT02420821,Rini BI et al,2019,Original publication,PD-L1,Co-primary,Atezolizumab,OS+PFS
NCT02125461,Antonia SJ et al,2017,Original publication,PD-L1,Co-primary,Durvalumab,OS+PFS
NCT02125461,Antonia SJ et al,2018,Follow-up,PD-L1,Co-primary,Durvalumab,OS+PFS
NCT02367781,West H et al,2019,Original publication,PD-L1,Co-primary,Atezolizumab,OS+PFS
NCT02425891,Schmid P et al,2019,Follow-up,PD-L1,Co-primary,Atezolizumab,OS+PFS
NCT02367794,Jotte R et al,2020,Original publication,PD-L1,Co-primary,Atezolizumab,OS+PFS
NCT02367794,Jotte R et al (1),2020,Original publication,PD-L1,Co-primary,Atezolizumab,OS+PFS
NCT02807636,Galsky MD et al,2020,Original publication,PD-L1,Co-primary,Atezolizumab,OS+PFS
NCT02807636,Galsky MD et al (1),2020,Original publication,PD-L1,Co-primary,Atezolizumab,OS+PFS
NCT03434379,Finn RS et al,2020,Original publication,PD-L1,Co-primary,Atezolizumab,OS+PFS
NCT02516241,Powles T et al,2020,Original publication,PD-L1,Co-primary,Durvalumab,OS
NCT03197935,Mittendorf EA et al,2020,Original publication,PD-L1,Co-primary,Atezolizumab,Path CR in ITT+Path CR in PD-L1+
NCT02657434,Nishio M et al,2020,Original publication,PD-L1,Co-primary,Atezolizumab,PFS+OS
