nct,author,year,pubmed_id,ici_class,primary_endpoint_is_multiple_or_composite
NCT02302807,Powles T et al,2018,29268948,PD-L1,
NCT02425891,Schmid P et al,2018,30345906,PD-L1,Multiple
NCT02685059,Loibl S et al,2019,31095287,PD-L1,
NCT02788279,Eng C et al,2019,31003911,PD-L1,
NCT02788279,Eng C et al (1),2019,31003911,PD-L1,
NCT01585987,Bang YJ et al,2017,28655793,CTLA-4,
NCT02625623,Bang YJ et al,2018,30052729,PD-L1,
NCT01984242,McDermott DF et al,2018,29867230,PD-L1,
NCT01984242,McDermott DF et al (1),2018,29867230,PD-L1,
NCT02684006,Motzer RJ et al,2019,30779531,PD-L1,Multiple
NCT02420821,Rini BI et al,2019,31079938,PD-L1,Co-primary
NCT00527735,Lynch TJ et al,2012,22547592,CTLA-4,
NCT00527735,Lynch TJ et al (1),2012,22547592,CTLA-4,
NCT00527735,Reck M et al,2012,22858559,CTLA-4,
NCT00527735,Reck M et al (1),2012,22858559,CTLA-4,
NCT01903993,Fehrenbacher L et al,2016,26970723,PD-L1,
NCT01450761,Reck M et al,2016,27458307,CTLA-4,
NCT01285609,Govindan R et al,2017,28854067,CTLA-4,
NCT02125461,Antonia SJ et al,2017,28885881,PD-L1,Co-primary
NCT02125461,Antonia SJ et al,2018,30280658,PD-L1,Co-primary
NCT02395172,Barlesi F et al,2018,30262187,PD-L1,
NCT02008227,Rittmeyer A et al,2017,27979383,PD-L1,
NCT02008227,Fehrenbacher L et al,2018,29777823,PD-L1,
NCT02763579,Horn L et al,2018,30280641,PD-L1,Multiple
NCT02366143,Socinski MA et al,2018,29863955,PD-L1,Multiple
NCT02366143,Socinski MA et al (1),2018,29863955,PD-L1,Multiple
NCT03059667,Pujol JL et al,2019,30664989,PD-L1,
NCT02367781,West H et al,2019,31122901,PD-L1,Co-primary
NCT02454933,Yang JCH et al,2019,30763730,PD-L1,
NCT00324155,Robert C et al,2011,21639810,CTLA-4,
NCT00094653,Hodi FS et al,2010,20525992,CTLA-4,
NCT00094653,Hodi FS et al (1),2010,20525992,CTLA-4,
NCT00257205,Ribas A et al,2013,23295794,CTLA-4,
NCT00636168,Eggermont AMM et al,2016,27717298,CTLA-4,
NCT01843374,Maio M et al,2017,28729154,CTLA-4,
NCT00861614,Kwon ED et al,2014,24831977,CTLA-4,
NCT01057810,Beer TM et al,2017,28034081,CTLA-4,
NCT03043872,Paz-Ares L et al,2019,31590988,PD-L1,
NCT02425891,Schmid P et al,2019,31786121,PD-L1,Co-primary
NCT02763579,Mansfield AS et al,2020,31959349,PD-L1,Multiple
NCT02352948,Planchard D et al,2020,32201234,PD-L1,Multiple
NCT02352948,Planchard D et al (1),2020,32201234,CTLA-4,Multiple
NCT01274338,Tarhini AA et al,2020,31880964,CTLA-4,Co-primary
NCT01274338,Tarhini AA et al (1),2020,31880964,CTLA-4,Co-primary
NCT01896869,Wu AA et al,2020,32591464,CTLA-4,
NCT02453282,Rizvi NA et al,2020,32271377,PD-L1,Multiple
NCT02367794,Jotte R et al,2020,32302702,PD-L1,Co-primary
NCT02367794,Jotte R et al (1),2020,32302702,PD-L1,Co-primary
NCT02908672,Gutzmer R et al,2020,32534646,PD-L1,
NCT02807636,Galsky MD et al,2020,32416780,PD-L1,Co-primary
NCT02807636,Galsky MD et al (1),2020,32416780,PD-L1,Co-primary
NCT03434379,Finn RS et al,2020,32402160,PD-L1,Co-primary
NCT02369874,Ferris RL et al,2020,32294530,PD-L1,
NCT02684006,Choueiri TK et al,2020,32339648,PD-L1,Multiple
NCT00094653,McDermott D et al,2013,23942774,CTLA-4,
NCT00094653,McDermott D et al (1),2013,23942774,CTLA-4,
NCT02516241,Powles T et al,2020,32971005,PD-L1,Co-primary
NCT03197935,Mittendorf EA et al,2020,32966830,PD-L1,Co-primary
NCT02603432,Powles T et al,2020,32945632,PD-L1,
NCT02625610,Moehler M et al,2020,33197226,PD-L1,
NCT02409342,Herbst RS et al.,2020,32997907,PD-L1,
NCT02924883,Emens LA et al,2020,33002436,PD-L1,
NCT02657434,Nishio M et al,2020,33333328,PD-L1,Co-primary
NCT00861614,Fizazi K et al.,2020,32811715,CTLA-4,
NCT03043872,Goldman JW et al (1),2020,33285097,PD-L1,
NCT00636168,Eggermont AMM et al,2015,25840693,CTLA-4,
NCT01903993,Mazieres J et al,2020,33166718,PD-L1,
NCT02008227,Mazieres J et al,2020,33166718,PD-L1,
NCT02299999,Bachelot T et al,2021,33462450,PD-L1,
NCT02450331,Bellmunt J et al,2021,33721560,PD-L1,
NCT02952586,Lee NY et al,2021,33794205,PD-L1,
NCT02999087,Tao Y et al.,2021,33125944,PD-L1,
