NCT,PMID,biomarker_name,Authors,Year
NCT00094653,20525992,UNKNOWN,Hodi FS et al,2010
NCT00094653,20525992,UNKNOWN,Hodi FS et al (1),2010
NCT00094653,20525992,UNKNOWN,McDermott D et al,2013
NCT00094653,20525992,UNKNOWN,McDermott D et al (1),2013
NCT00094653,20525992,UNKNOWN,Hodi FS et al,2010
NCT00094653,20525992,UNKNOWN,Hodi FS et al (1),2010
NCT00094653,20525992,UNKNOWN,McDermott D et al,2013
NCT00094653,20525992,UNKNOWN,McDermott D et al (1),2013
NCT02130466,31171878,UNKNOWN,Ascierto PA et al,2019
NCT02130466,31171878,UNKNOWN,Ferrucci PF et al,2020
NCT01721772,25399552,UNKNOWN,Robert C et al,2015
NCT01721772,25399552,UNKNOWN,Ascierto PA et al,2019
NCT01721772,25399552,UNKNOWN,Robert C et al,2020
NCT01721772,30422243,UNKNOWN,Robert C et al,2015
NCT01721772,30422243,UNKNOWN,Ascierto PA et al,2019
NCT01721772,30422243,UNKNOWN,Robert C et al,2020
NCT02908672,32534646,UNKNOWN,Gutzmer R et al,2020
NCT00094653,23942774,UNKNOWN,Hodi FS et al,2010
NCT00094653,23942774,UNKNOWN,Hodi FS et al (1),2010
NCT00094653,23942774,UNKNOWN,McDermott D et al,2013
NCT00094653,23942774,UNKNOWN,McDermott D et al (1),2013
NCT00094653,23942774,UNKNOWN,Hodi FS et al,2010
NCT00094653,23942774,UNKNOWN,Hodi FS et al (1),2010
NCT00094653,23942774,UNKNOWN,McDermott D et al,2013
NCT00094653,23942774,UNKNOWN,McDermott D et al (1),2013
NCT01721772,32997575,UNKNOWN,Robert C et al,2015
NCT01721772,32997575,UNKNOWN,Ascierto PA et al,2019
NCT01721772,32997575,UNKNOWN,Robert C et al,2020
NCT02130466,33361337,UNKNOWN,Ascierto PA et al,2019
NCT02130466,33361337,UNKNOWN,Ferrucci PF et al,2020
