NCT,PMID,brand_name,Authors,Year
NCT01903993,26970723,Atezolizumab,Fehrenbacher L et al,2016
NCT01903993,26970723,Atezolizumab,Mazieres J et al,2020
NCT02125461,28885881,Durvalumab,Antonia SJ et al,2017
NCT02125461,28885881,Durvalumab,Antonia SJ et al,2018
NCT02125461,30280658,Durvalumab,Antonia SJ et al,2017
NCT02125461,30280658,Durvalumab,Antonia SJ et al,2018
NCT02395172,30262187,Atezolizumab,Barlesi F et al,2018
NCT02008227,27979383,Atezolizumab,Rittmeyer A et al,2017
NCT02008227,27979383,Atezolizumab,Fehrenbacher L et al,2018
NCT02008227,27979383,Atezolizumab,Mazieres J et al,2020
NCT02008227,29777823,Atezolizumab,Rittmeyer A et al,2017
NCT02008227,29777823,Atezolizumab,Fehrenbacher L et al,2018
NCT02008227,29777823,Atezolizumab,Mazieres J et al,2020
NCT02763579,30280641,Atezolizumab,Horn L et al,2018
NCT02763579,30280641,Atezolizumab,Mansfield AS et al,2020
NCT02366143,29863955,Atezolizumab,Socinski MA et al,2018
NCT02366143,29863955,Atezolizumab,Socinski MA et al (1),2018
NCT02366143,29863955,Atezolizumab,Socinski MA et al,2018
NCT02366143,29863955,Atezolizumab,Socinski MA et al (1),2018
NCT03059667,30664989,Atezolizumab,Pujol JL et al,2019
NCT02367781,31122901,Atezolizumab,West H et al,2019
NCT02454933,30763730,Durvalumab,Yang JCH et al,2019
NCT03043872,31590988,Durvalumab,Paz-Ares L et al,2019
NCT03043872,31590988,Durvalumab,Paz-Ares L et al (1),2019
NCT03043872,31590988,Durvalumab,Goldman JW et al,2020
NCT03043872,31590988,Durvalumab,Goldman JW et al (1),2020
NCT03043872,31590988,Durvalumab,Paz-Ares L et al,2019
NCT03043872,31590988,Durvalumab,Paz-Ares L et al (1),2019
NCT03043872,31590988,Durvalumab,Goldman JW et al,2020
NCT03043872,31590988,Durvalumab,Goldman JW et al (1),2020
NCT02763579,31959349,Atezolizumab,Horn L et al,2018
NCT02763579,31959349,Atezolizumab,Mansfield AS et al,2020
NCT02352948,32201234,Durvalumab,Planchard D et al,2020
NCT02352948,32201234,Durvalumab,Planchard D et al (1),2020
NCT02352948,32201234,Durvalumab,Planchard D et al (2),2020
NCT02352948,32201234,Durvalumab,Planchard D et al,2020
NCT02352948,32201234,Durvalumab,Planchard D et al (1),2020
NCT02352948,32201234,Durvalumab,Planchard D et al (2),2020
NCT02453282,32271377,Durvalumab,Rizvi NA et al,2020
NCT02453282,32271377,Durvalumab,Rizvi NA et al (1),2020
NCT02453282,32271377,Durvalumab,Rizvi NA et al,2020
NCT02453282,32271377,Durvalumab,Rizvi NA et al (1),2020
NCT02367794,32302702,Atezolizumab,Jotte R et al,2020
NCT02367794,32302702,Atezolizumab,Jotte R et al (1),2020
NCT02367794,32302702,Atezolizumab,Jotte R et al,2020
NCT02367794,32302702,Atezolizumab,Jotte R et al (1),2020
NCT02409342,32997907,Atezolizumab,Herbst RS et al.,2020
NCT03043872,33285097,Durvalumab,Paz-Ares L et al,2019
NCT03043872,33285097,Durvalumab,Paz-Ares L et al (1),2019
NCT03043872,33285097,Durvalumab,Goldman JW et al,2020
NCT03043872,33285097,Durvalumab,Goldman JW et al (1),2020
NCT03043872,33285097,Durvalumab,Paz-Ares L et al,2019
NCT03043872,33285097,Durvalumab,Paz-Ares L et al (1),2019
NCT03043872,33285097,Durvalumab,Goldman JW et al,2020
NCT03043872,33285097,Durvalumab,Goldman JW et al (1),2020
NCT01903993,33166718,Atezolizumab,Fehrenbacher L et al,2016
NCT01903993,33166718,Atezolizumab,Mazieres J et al,2020
NCT02008227,33166718,Atezolizumab,Rittmeyer A et al,2017
NCT02008227,33166718,Atezolizumab,Fehrenbacher L et al,2018
NCT02008227,33166718,Atezolizumab,Mazieres J et al,2020
