nct,author,year,publication_type,other_biomarker_inclusion,cancer_type,primary_endpoint
NCT00094653,Hodi FS et al,2010,Original publication,True,Melanoma,OS
NCT00094653,Hodi FS et al (1),2010,Original publication,True,Melanoma,OS
NCT02130466,Ascierto PA et al,2019,Original publication,True,Melanoma,PFS
NCT01721772,Robert C et al,2015,Original publication,True,Melanoma,OS
NCT01721772,Ascierto PA et al,2019,Follow-up,True,Melanoma,OS
NCT02908672,Gutzmer R et al,2020,Original publication,True,Melanoma,PFS
NCT00094653,McDermott D et al,2013,Follow-up,True,Melanoma,OS
NCT00094653,McDermott D et al (1),2013,Follow-up,True,Melanoma,OS
NCT01721772,Robert C et al,2020,Follow-up,True,Melanoma,OS
NCT02130466,Ferrucci PF et al,2020,Original publication,True,Melanoma,PFS
