nct,author,year,pubmed_id
NCT00324155,Robert C et al,2011,21639810
NCT00094653,Hodi FS et al,2010,20525992
NCT00094653,Hodi FS et al (1),2010,20525992
NCT00257205,Ribas A et al,2013,23295794
NCT02362594,Eggermont AMM et al,2018,29658430
NCT01704287,Ribas A et al,2015,26115796
NCT01704287,Ribas A et al (1),2015,26115796
NCT01704287,Hamid O et al,2017,28961465
NCT01704287,Hamid O et al (1),2017,28961465
NCT00636168,Eggermont AMM et al,2016,27717298
NCT01721746,Weber JS et al,2015,25795410
NCT01721746,Larkin J et al,2018,28671856
NCT02130466,Ascierto PA et al,2019,31171878
NCT01721772,Robert C et al,2015,25399552
NCT01721772,Ascierto PA et al,2019,30422243
NCT01274338,Tarhini AA et al,2020,31880964
NCT01274338,Tarhini AA et al (1),2020,31880964
NCT02523313,Zimmer L et al,2020,32416781
NCT02523313,Zimmer L et al (1),2020,32416781
NCT02908672,Gutzmer R et al,2020,32534646
NCT00094653,McDermott D et al,2013,23942774
NCT00094653,McDermott D et al (1),2013,23942774
NCT01721772,Robert C et al,2020,32997575
NCT02130466,Ferrucci PF et al,2020,33361337
NCT02362594,Eggermont AMM et al,2020,32946353
NCT00636168,Eggermont AMM et al,2015,25840693
