nct,author,year,pubmed_id,follow_up_duration_overall_months,follow_up_duration_rx_months,follow_up_duration_control_months
NCT01668784,Motzer RJ et al,2015,26406148,14.0,,
NCT01984242,McDermott DF et al,2018,29867230,20.7,,
NCT01984242,McDermott DF et al (1),2018,29867230,20.7,,
NCT02231749,Motzer RJ et al,2018,29562145,25.2,,
NCT02231749,Motzer RJ et al,2019,31427204,32.4,,
NCT02684006,Motzer RJ et al,2019,30779531,,,
NCT02853331,Rini BI et al,2019,30779529,12.8,,
NCT02420821,Rini BI et al,2019,31079938,,,
NCT02231749,Motzer RJ et al,2020,32661118,42.0,,
NCT01668784,Motzer RJ et al,2020,32673417,,25.8,19.7
NCT02684006,Choueiri TK et al,2020,32339648,,,
NCT02853331,Powles T et al. ,2020,33284113,30.6,,35.7
NCT02811861,Motzer R et al,2021,33616314,26.6,,
NCT03141177,Choueiri TK et al,2021,33657295,18.1,,
