nct,author,year,pubmed_id,follow_up_duration_overall_months,follow_up_duration_rx_months,follow_up_duration_control_months
NCT00636168,Eggermont AMM et al,2016,27717298,5.3,5.3,5.4
NCT01721746,Weber JS et al,2015,25795410,6.0,,
NCT02130466,Ascierto PA et al,2019,31171878,9.6,,
NCT01704287,Ribas A et al,2015,26115796,10.0,,
NCT01704287,Ribas A et al (1),2015,26115796,10.0,,
NCT02362594,Eggermont AMM et al,2018,29658430,15.1,14.7,15.4
NCT01721772,Robert C et al,2015,25399552,16.7,,
NCT02908672,Gutzmer R et al,2020,32534646,18.9,,
NCT01721746,Larkin J et al,2018,28671856,24.0,,
NCT01704287,Hamid O et al (1),2017,28961465,28.0,,
