NCT,PMID,cytotoxic_drugs,Control regimen,Authors,Year
NCT02041533,28636851,platinum-based chemotherapy,Platinum-based chemotherapy,Carbone DP et al,2017
NCT02477826,29658845,none,Chemotherapy,Hellmann MD et al,2018
NCT02477826,29658845,none,Chemotherapy,Hellmann MD et al (1),2018
NCT02477826,29658845,none,Chemotherapy,Hellmann MD et al,2019
NCT02477826,29658845,none,Chemotherapy,Hellmann MD et al (1),2019
NCT02477826,29658845,none,Chemotherapy,Hellmann MD et al (2),2019
NCT02477826,29658845,none,Chemotherapy,Hellmann MD et al,2018
NCT02477826,29658845,none,Chemotherapy,Hellmann MD et al (1),2018
NCT02477826,29658845,none,Chemotherapy,Hellmann MD et al,2019
NCT02477826,29658845,none,Chemotherapy,Hellmann MD et al (1),2019
NCT02477826,29658845,none,Chemotherapy,Hellmann MD et al (2),2019
NCT02477826,31562796,none,Chemotherapy,Hellmann MD et al,2018
NCT02477826,31562796,none,Chemotherapy,Hellmann MD et al (1),2018
NCT02477826,31562796,none,Chemotherapy,Hellmann MD et al,2019
NCT02477826,31562796,none,Chemotherapy,Hellmann MD et al (1),2019
NCT02477826,31562796,none,Chemotherapy,Hellmann MD et al (2),2019
NCT02477826,31562796,none,Chemotherapy,Hellmann MD et al,2018
NCT02477826,31562796,none,Chemotherapy,Hellmann MD et al (1),2018
NCT02477826,31562796,none,Chemotherapy,Hellmann MD et al,2019
NCT02477826,31562796,none,Chemotherapy,Hellmann MD et al (1),2019
NCT02477826,31562796,none,Chemotherapy,Hellmann MD et al (2),2019
NCT02477826,31562796,none,Chemotherapy,Hellmann MD et al,2018
NCT02477826,31562796,none,Chemotherapy,Hellmann MD et al (1),2018
NCT02477826,31562796,none,Chemotherapy,Hellmann MD et al,2019
NCT02477826,31562796,none,Chemotherapy,Hellmann MD et al (1),2019
NCT02477826,31562796,none,Chemotherapy,Hellmann MD et al (2),2019
NCT02142738,30620668,platinum-based chemotherapy,Platinum-based chemotherapy,Reck M et al,2019
NCT02142738,30620668,platinum-based chemotherapy,Platinum-based chemotherapy,Reck M et al,2016
NCT02453282,32271377,none,Investigator's choice chemotherapy,Rizvi NA et al,2020
NCT02453282,32271377,none,Investigator's choice chemotherapy,Rizvi NA et al (1),2020
NCT02453282,32271377,none,Investigator's choice chemotherapy,Rizvi NA et al,2020
NCT02453282,32271377,none,Investigator's choice chemotherapy,Rizvi NA et al (1),2020
NCT02142738,27718847,platinum-based chemotherapy,Platinum-based chemotherapy,Reck M et al,2019
NCT02142738,27718847,platinum-based chemotherapy,Platinum-based chemotherapy,Reck M et al,2016
NCT03215706,33476593,none,Chemotherapy,Paz-Ares L et al,2021
NCT03088540,33581821,none,Chemotherapy,Sezer A et al,2021
