nct,author,year,publication_type,follow_up_type,cancer_type,follow_up_duration_rx_months,follow_up_duration_control_months
NCT01984242,McDermott DF et al,2018,Original publication,Median,Renal cell,,
NCT01984242,McDermott DF et al (1),2018,Original publication,Median,Renal cell,,
NCT02231749,Motzer RJ et al,2018,Original publication,Median,Renal cell,,
NCT02231749,Motzer RJ et al,2019,Follow-up,Median,Renal cell,,
NCT02684006,Motzer RJ et al,2019,Original publication,Median,Renal cell,,
NCT02853331,Rini BI et al,2019,Original publication,Median,Renal cell,,
NCT02420821,Rini BI et al,2019,Original publication,Median,Renal cell,,
NCT01668784,Motzer RJ et al,2020,Follow-up,Median,Renal cell,25.8,19.7
NCT02684006,Choueiri TK et al,2020,Follow-up,Median,Renal cell,,
NCT02853331,Powles T et al. ,2020,Follow-up,Median,Renal cell,,35.7
NCT02811861,Motzer R et al,2021,Original publication,Median,Renal cell,,
NCT03141177,Choueiri TK et al,2021,Original publication,Median,Renal cell,,
