nct,author,year,originial_publication_or_follow_up,is_any_other_biomarker_used_for_inclusion,cancer_type,primary_endpoint
NCT02041533,Carbone DP et al,2017,Original publication,Yes,Non-Small Cell Lung,PFS
NCT02039674,Langer JC et al,2016,Original publication,Yes,Non-Small Cell Lung,ORR
NCT02039674,Borghaei  H et al,2018,Follow-up,Yes,Non-Small Cell Lung,ORR
NCT02008227,Rittmeyer A et al,2017,Original publication,Yes,Non-Small Cell Lung,OS
NCT02008227,Fehrenbacher L et al,2018,Follow-up,Yes,Non-Small Cell Lung,OS
NCT02477826,Hellmann MD et al,2019,Follow-up,Yes,Non-Small Cell Lung,OS
NCT02477826,Hellmann MD et al (1),2019,Follow-up,Yes,Non-Small Cell Lung,OS
NCT02477826,Hellmann MD et al (2),2019,Follow-up,Yes,Non-Small Cell Lung,OS
NCT02453282,Rizvi NA et al,2020,Original publication,Yes,Non-Small Cell Lung,OS+PFS
NCT02453282,Rizvi NA et al (1),2020,Original publication,Yes,Non-Small Cell Lung,OS+PFS
NCT02409342,Herbst RS et al.,2020,Original publication,Yes,Non-Small Cell Lung,OS
NCT03215706,Paz-Ares L et al,2021,Original publication,Yes,Non-Small Cell Lung,OS
NCT03088540,Sezer A et al,2021,Original publication,Yes,Non-Small Cell Lung,OS+PFS
