NCT,PMID,Authors,Year,Secondary endpoint,irAE_assessed
NCT02252042,30509740,Cohen EEW et al,2018,"OS in the population with 
a PD-L1 combined positive 
score of 1 or higher; safety, 
PFS,ORR, duration of 
confirmed response in all 
participants and those with a PD-L1 combined positive score of 1 or higher.",FALSE
NCT02105636,27718784,Ferris RL et al,2016,"PFS, ORR",FALSE
NCT02105636,29884413,Ferris RL et al,2018,"PFS, ORR",FALSE
NCT02358031,31679945,Burtness B et al,2019,"Safety and tolerability; proportion of participants with objective response; proportion of participants who were progression-free at 6 and 12 months; change from baseline in global health status or quality of life; time to deterioration in global health status or quality of life, pain, and
swallowing.",FALSE
NCT02358031,31679945,Burtness B et al (1),2019,"Safety and tolerability; proportion of participants with objective response; proportion of participants who were progression-free at 6 and 12 months; change from baseline in global health status or quality of life; time to deterioration in global health status or quality of life, pain, and
swallowing.",FALSE
NCT02017717,32437507,Reardon DA et al,2020,OS rate at 12 months; investigator-assessed PFS and ORR.,FALSE
NCT02369874,32294530,Ferris RL et al,2020,"PFS, ORR, DOR",FALSE
NCT02369874,32294530,Ferris RL et al (1),2020,"PFS, ORR, DOR",FALSE
NCT02952586,33794205,Lee NY et al,2021,OS; ORR; DoR; path CR,FALSE
NCT02999087,33125944,Tao Y et al.,2021,Safety,FALSE
