NCT,PMID,Authors,Year,Follow-up duration for primary endpoint(s) in months | Overall,followup_bucket
NCT01585987,28655793,Bang YJ et al,2017,,unknown
NCT02267343,28993052,Kang YK et al,2017,,unknown
NCT02625623,30052729,Bang YJ et al,2018,10.6,<12
NCT02370498,29880231,Shitara K et al,2018,7.9,<12
NCT02267343,31863227,Chen LT et al,2019,27.3,≥24
NCT02569242,31582355,Kato K et al,2019,,unknown
NCT02494583,32880601,Shitara K et al,2020,29.4,≥24
NCT02494583,32880601,Shitara K et al,2020,29.4,≥24
 NCT02625610,33197226,Moehler M et al,2020,,unknown
NCT02564263,33026938,Kojima T et al.,2020,,unknown
