NCT,PMID,Authors,Year,Originial publication or Follow-up,is_follow_up
NCT01585987,28655793,Bang YJ et al,2017,Original publication,FALSE
NCT02267343,28993052,Kang YK et al,2017,Original publication,FALSE
NCT02625623,30052729,Bang YJ et al,2018,Original publication,FALSE
NCT02370498,29880231,Shitara K et al,2018,Original publication,FALSE
NCT02267343,31863227,Chen LT et al,2019,Follow-up,TRUE
NCT02569242,31582355,Kato K et al,2019,Original publication,FALSE
NCT02494583,32880601,Shitara K et al,2020,Original publication,FALSE
NCT02494583,32880601,Shitara K et al (1),2020,Original publication,FALSE
 NCT02625610,33197226,Moehler M et al,2020,Original publication,FALSE
NCT02564263,33026938,Kojima T et al.,2020,Original publication,FALSE
