NCT,PMID,Authors,Year,Follow-up duration for primary endpoint(s) in months | Overall,followup_bucket
NCT00324155,21639810,Robert C et al,2011,,
NCT00094653,20525992,Hodi FS et al,2010,,
NCT00094653,20525992,Hodi FS et al (1),2010,,
NCT00257205,23295794,Ribas A et al,2013,,
NCT02362594,29658430,Eggermont AMM et al,2018,15.1,23-Dec
NCT01704287,26115796,Ribas A et al,2015,10,<12
NCT01704287,26115796,Ribas A et al (1),2015,10,<12
NCT01704287,28961465,Hamid O et al,2017,28,>=24
NCT01704287,28961465,Hamid O et al (1),2017,28,>=24
NCT00636168,27717298,Eggermont AMM et al,2016,5.3,<12
NCT01721746,25795410,Weber JS et al,2015,6,<12
NCT01721746,28671856,Larkin J et al,2018,24,>=24
NCT02130466,31171878,Ascierto PA et al,2019,9.6,<12
NCT01721772,25399552,Robert C et al,2015,16.7,23-Dec
NCT01721772,30422243,Ascierto PA et al,2019,38.4,>=24
NCT01274338,31880964,Tarhini AA et al,2020,57.4,>=24
NCT01274338,31880964,Tarhini AA et al (1),2020,57.4,>=24
NCT02523313,32416781,Zimmer L et al,2020,28.4,>=24
NCT02523313,32416781,Zimmer L et al (1),2020,28.4,>=24
NCT02908672,32534646,Gutzmer R et al,2020,18.9,23-Dec
NCT00094653,23942774,McDermott D et al,2013,,
NCT00094653,23942774,McDermott D et al (1),2013,,
NCT01721772,32997575,Robert C et al,2020,,
NCT02130466,33361337,Ferrucci PF et al,2020,36.6,>=24
NCT02362594,32946353,Eggermont AMM et al,2020,36.6,>=24
 NCT00636168,25840693,Eggermont AMM et al,2015,,
