NCT,PMID,Authors,Year,Secondary endpoint,endpoint_role
NCT00324155,21639810,Robert C et al,2011,"PFS, best ORR, DCR, time to response, DOR, safety",secondary
NCT00094653,20525992,Hodi FS et al,2010,Comparison of OS between ipilimumab-alone and gp100-alone groups and between the two ipilimumab groups; best ORR; duration of response; PFS.,secondary
NCT00094653,20525992,Hodi FS et al (1),2010,Comparison of OS between ipilimumab-alone and gp100-alone groups and between the two ipilimumab groups; best ORR; duration of response; PFS.,secondary
NCT00257205,23295794,Ribas A et al,2013,PFS; best overall response; duration of response; PFS at 6 months after random assignment; safety.,secondary
NCT02362594,29658430,Eggermont AMM et al,2018,Distant metastasis-free survival; OS; safety measures; measures of health-related quality of life.,secondary
NCT01704287,26115796,Ribas A et al,2015,ORR; response duration; time from best overall response of complete or partial response until disease progression; safety.,secondary
NCT01704287,26115796,Ribas A et al (1),2015,ORR; response duration; time from best overall response of complete or partial response until disease progression; safety.,secondary
NCT01704287,28961465,Hamid O et al,2017,ORR; response duration; safety.,secondary
NCT01704287,28961465,Hamid O et al (1),2017,ORR; response duration; safety.,secondary
NCT00636168,27717298,Eggermont AMM et al,2016,OS; distant metastasis–free survival; safety; health-related quality of life.,secondary
NCT01721746,25795410,Weber JS et al,2015,PFS; PD-L1 expression as a predictive biomarker for ORR and OS; health-related quality of life.,secondary
NCT01721746,28671856,Larkin J et al,2018,PFS; PD-L1 expression as a predictive biomarker for ORR and OS; health-related quality of life.,secondary
NCT02130466,31171878,Ascierto PA et al,2019,ORR; duration of response; time to response; OS.,secondary
NCT01721772,25399552,Robert C et al,2015,Investigator-assessed PFS and objective response; tumor PD-L1 expression as a predictive biomarker of OS.,secondary
NCT01721772,30422243,Ascierto PA et al,2019,Investigator-assessed PFS and objective response; tumor PD-L1 expression as a predictive biomarker of OS.,secondary
NCT01274338,31880964,Tarhini AA et al,2020,"Safety, tolerability and quality-of-life with adjuvant ipilimumab",secondary
NCT01274338,31880964,Tarhini AA et al (1),2020,"Safety, tolerability and quality-of-life with adjuvant ipilimumab",secondary
NCT02523313,32416781,Zimmer L et al,2020,OS; time to recurrence; safety; PFS or RFS 2.,secondary
NCT02523313,32416781,Zimmer L et al (1),2020,OS; time to recurrence; safety; PFS or RFS 2.,secondary
NCT02908672,32534646,Gutzmer R et al,2020,PFS assessed by independent review committee; ORR; DOR; OS; time to deterioration in global health status and physical function.,secondary
NCT00094653,23942774,McDermott D et al,2013,"DOS, responses, and safety among patients with ≥2 years’ survival.",secondary
NCT00094653,23942774,McDermott D et al (1),2013,"DOS, responses, and safety among patients with ≥2 years’ survival.",secondary
NCT01721772,32997575,Robert C et al,2020,Investigator-assessed PFS and objective response; tumor PD-L1 expression as a predictive biomarker of OS.,secondary
NCT02130466,33361337,Ferrucci PF et al,2020,ORR; duration of response; time to response; OS,secondary
NCT02362594,32946353,Eggermont AMM et al,2020,,secondary
 NCT00636168,25840693,Eggermont AMM et al,2015,OS; distant metastasis–free survival; safety; health-related quality of life.,secondary
