NCT,PMID,Authors,Year,Control arm,control_category
NCT00094653,20525992,Hodi FS et al,2010,Vaccine,active
NCT00094653,20525992,Hodi FS et al,2010,Vaccine,active
NCT00324155,21639810,Robert C et al,2011,Chemo,active
NCT00094653,23942774,McDermott D et al,2013,Vaccine,active
NCT00094653,23942774,McDermott D et al,2013,Vaccine,active
NCT00257205,23295794,Ribas A et al,2013,Chemo,active
 NCT00636168,25840693,Eggermont AMM et al,2015,Placebo,placebo
NCT01721746,25795410,Weber JS et al,2015,Chemo,active
NCT01721772,25399552,Robert C et al,2015,Chemo,active
NCT00636168,27717298,Eggermont AMM et al,2016,Placebo,placebo
NCT01721746,28671856,Larkin J et al,2018,Chemo,active
NCT02362594,29658430,Eggermont AMM et al,2018,Placebo,placebo
NCT01721772,30422243,Ascierto PA et al,2019,Chemo,active
NCT01274338,31880964,Tarhini AA et al,2020,Interferon,active
NCT01274338,31880964,Tarhini AA et al,2020,Interferon,active
NCT01721772,32997575,Robert C et al,2020,Chemo,active
NCT02362594,32946353,Eggermont AMM et al,2020,Placebo,placebo
NCT02908672,32534646,Gutzmer R et al,2020,BRAFi+MEKi,active
