NCT,PMID,Authors,Year,Trial phase,phase_bucket
NCT02125461,28885881,Antonia SJ et al,2017,Phase 3,late
NCT02125461,30280658,Antonia SJ et al,2018,Phase 3,late
NCT02454933,30763730,Yang JCH et al,2019,Phase 3,late
NCT02685059,31095287,Loibl S et al,2019,Phase 2,early
NCT03043872,31590988,Paz-Ares L et al,2019,Phase 3,late
NCT02352948,32201234,Planchard D et al,2020,Phase 3,late
NCT02369874,32294530,Ferris RL et al,2020,Phase 3,late
NCT02453282,32271377,Rizvi NA et al,2020,Phase 3,late
NCT02516241,32971005,Powles T et al,2020,Phase 3,late
NCT03043872,33285097,Goldman JW et al,2020,Phase 3,late
NCT02299999,33462450,Bachelot T et al,2021,Phase 2,early
