NCT,PMID,Authors,Year,Follow-up duration for primary endpoint(s) in months | Overall,followup_bucket
NCT00527735,22858559,Reck M et al,2012,11.1,<12
NCT00527735,22858559,Reck M et al (1),2012,11.1,<12
NCT01450761,27458307,Reck M et al,2016,,
NCT02763579,30280641,Horn L et al,2018,13.9,12–23
NCT03059667,30664989,Pujol JL et al,2019,13.7,12–23
NCT03043872,31590988,Paz-Ares L et al,2019,14.2,12–23
NCT03043872,31590988,Paz-Ares L et al (1),2019,14.2,12–23
NCT02763579,31959349,Mansfield AS et al,2020,,
NCT03066778,32468956,Rudin CM et al,2020,,
NCT03043872,33285097,Goldman JW et al,2020,25.1,≥24
NCT03043872,33285097,Goldman JW et al (1),2020,25.1,≥24
NCT02481830,33539946,Spigel DR et al,2021,15.8,12–23
NCT02538666,33683919,Owonikoko TK et al,2021,,
NCT02538666,33683919,Owonikoko TK et al,2021,,
