NCT,PMID,Authors,Year,Treatment regimen,added_agents
NCT02425891,30345906,Schmid P et al,2018,Atezolizumab+Nab-paclitaxel,['paclitaxel']
NCT02788279,31003911,Eng C et al,2019,Atezolizumab+Cobimetinib,[]
NCT01984242,29867230,McDermott DF et al,2018,Atezolizumab+Bevacizumab,['bevacizumab']
NCT02420821,31079938,Rini BI et al,2019,Atezolizumab+Bevacizumab,['bevacizumab']
NCT02763579,30280641,Horn L et al,2018,Atezolizumab+Etoposide+Carboplatin,"['etoposide', 'carboplatin']"
NCT02366143,29863955,Socinski MA et al,2018,Atezolizumab+Carboplatin+Paclitaxel,"['carboplatin', 'paclitaxel']"
NCT02366143,29863955,Socinski MA et al,2018,Atezolizumab+Carboplatin+Paclitaxel+Bevacizumab,"['carboplatin', 'paclitaxel', 'bevacizumab']"
NCT02367781,31122901,West H et al,2019,Atezolizumab+Carboplatin+Nab-paclitaxel,"['carboplatin', 'paclitaxel']"
NCT02425891,31786121,Schmid P et al,2019,Atezolizumab+Nab-paclitaxel,['paclitaxel']
NCT02763579,31959349,Mansfield AS et al,2020,Atezolizumab+Carboplatin+Etoposide,"['carboplatin', 'etoposide']"
NCT02367794,32302702,Jotte R et al,2020,Atezolizumab+Carboplatin+Paclitaxel,"['carboplatin', 'paclitaxel']"
NCT02367794,32302702,Jotte R et al,2020,Atezolizumab+Carboplatin+Nab-paclitaxel,"['carboplatin', 'paclitaxel']"
NCT02908672,32534646,Gutzmer R et al,2020,Atezolizumab+Vemurafenib+Cobimetinib,[]
NCT02807636,32416780,Galsky MD et al,2020,Atezolizumab+Gemcitabine+Carboplatin or Cisplatin,"['gemcitabine', 'carboplatin', 'cisplatin']"
NCT03434379,32402160,Finn RS et al,2020,Atezolizumab+Bevacizumab,['bevacizumab']
NCT03197935,32966830,Mittendorf EA et al,2020,Atezolizumab+Nab-paclitaxel+Doxorubicin+Cyclophosphamide+Filgrastim/Pegfilgrastim,"['paclitaxel', 'doxorubicin', 'cyclophosphamide']"
NCT02657434,33333328,Nishio M et al,2020,Atezolizumab+Carboplatin/Cisplatin+Pemetrexed,"['carboplatin', 'cisplatin', 'pemetrexed']"
