NCT,PMID,Authors,Year,Clinical setting,setting_normalized
NCT00527735,22858559,Reck M et al,2012,Metastatic+recurrent (unresectable),metastatic/advanced
NCT00527735,22858559,Reck M et al,2012,Metastatic+recurrent (unresectable),metastatic/advanced
NCT01450761,27458307,Reck M et al,2016,Metastatic+recurrent (unresectable),metastatic/advanced
NCT02763579,30280641,Horn L et al,2018,Metastatic+recurrent (unresectable),metastatic/advanced
NCT03059667,30664989,Pujol JL et al,2019,Metastatic+recurrent (unresectable),metastatic/advanced
NCT03043872,31590988,Paz-Ares L et al,2019,Metastatic+recurrent (unresectable),metastatic/advanced
NCT03043872,31590988,Paz-Ares L et al,2019,Metastatic+recurrent (unresectable),metastatic/advanced
NCT02763579,31959349,Mansfield AS et al,2020,Metastatic+recurrent (unresectable),metastatic/advanced
NCT03066778,32468956,Rudin CM et al,2020,Metastatic+recurrent (unresectable),metastatic/advanced
NCT03043872,33285097,Goldman JW et al,2020,Metastatic+recurrent (unresectable),metastatic/advanced
NCT03043872,33285097,Goldman JW et al,2020,Metastatic+recurrent (unresectable),metastatic/advanced
NCT02481830,33539946,Spigel DR et al,2021,Metastatic+recurrent (unresectable),metastatic/advanced
NCT02538666,33683919,Owonikoko TK et al,2021,Maintenance,
NCT02538666,33683919,Owonikoko TK et al,2021,Maintenance,
