NCT,PMID,Authors,Year,Treatment regimen,added_agents
NCT01984242,29867230,McDermott DF et al,2018,Atezolizumab+Bevacizumab,"[""bevacizumab""]"
NCT02366143,29863955,Socinski MA et al,2018,Atezolizumab+Carboplatin+Paclitaxel,"[""carboplatin"", ""paclitaxel""]"
NCT02366143,29863955,Socinski MA et al,2018,Atezolizumab+Carboplatin+Paclitaxel+Bevacizumab,"[""carboplatin"", ""paclitaxel"", ""bevacizumab""]"
NCT02425891,30345906,Schmid P et al,2018,Atezolizumab+Nab-paclitaxel,"[""paclitaxel"", ""nab-paclitaxel""]"
NCT02763579,30280641,Horn L et al,2018,Atezolizumab+Etoposide+Carboplatin,"[""etoposide"", ""carboplatin""]"
NCT02367781,31122901,West H et al,2019,Atezolizumab+Carboplatin+Nab-paclitaxel,"[""carboplatin"", ""paclitaxel"", ""nab-paclitaxel""]"
NCT02420821,31079938,Rini BI et al,2019,Atezolizumab+Bevacizumab,"[""bevacizumab""]"
NCT02425891,31786121,Schmid P et al,2019,Atezolizumab+Nab-paclitaxel,"[""paclitaxel"", ""nab-paclitaxel""]"
NCT02788279,31003911,Eng C et al,2019,Atezolizumab+Cobimetinib,[]
NCT02367794,32302702,Jotte R et al,2020,Atezolizumab+Carboplatin+Paclitaxel,"[""carboplatin"", ""paclitaxel""]"
NCT02367794,32302702,Jotte R et al,2020,Atezolizumab+Carboplatin+Nab-paclitaxel,"[""carboplatin"", ""paclitaxel"", ""nab-paclitaxel""]"
NCT02657434,33333328,Nishio M et al,2020,Atezolizumab+Carboplatin/Cisplatin+Pemetrexed,"[""cisplatin"", ""carboplatin"", ""pemetrexed""]"
NCT02763579,31959349,Mansfield AS et al,2020,Atezolizumab+Carboplatin+Etoposide,"[""carboplatin"", ""etoposide""]"
NCT02807636,32416780,Galsky MD et al,2020,Atezolizumab+Gemcitabine+Carboplatin or Cisplatin,"[""gemcitabine"", ""cisplatin"", ""carboplatin""]"
NCT02908672,32534646,Gutzmer R et al,2020,Atezolizumab+Vemurafenib+Cobimetinib,[]
NCT03197935,32966830,Mittendorf EA et al,2020,Atezolizumab+Nab-paclitaxel+Doxorubicin+Cyclophosphamide+Filgrastim/Pegfilgrastim,"[""paclitaxel"", ""nab-paclitaxel"", ""cyclophosphamide""]"
NCT03434379,32402160,Finn RS et al,2020,Atezolizumab+Bevacizumab,"[""bevacizumab""]"
