NCT,PMID,Authors,Year,Type of follow-up given,followup_type
NCT02105636,27718784,Ferris RL et al,2016,Median,unknown
NCT02105636,29884413,Ferris RL et al,2018,Minimum,unknown
NCT02252042,30509740,Cohen EEW et al,2018,Median,unknown
NCT02358031,31679945,Burtness B et al,2019,Median,unknown
NCT02358031,31679945,Burtness B et al,2019,Median,unknown
NCT02017717,32437507,Reardon DA et al,2020,Median,unknown
NCT02369874,32294530,Ferris RL et al,2020,Median,unknown
NCT02369874,32294530,Ferris RL et al,2020,Median,unknown
NCT02952586,33794205,Lee NY et al,2021,Median,unknown
NCT02999087,33125944,Tao Y et al.,2021,,unknown
