NCT,PMID,Authors,Year,Secondary endpoint,irAE_assessed
NCT01668784,26406148,Motzer RJ et al,2015,"ORR; PFS, association between overall survival and tumor expression of PD-L1; incidence of adverse events.",False
NCT01984242,29867230,McDermott DF et al,2018,"Investigator-assessed PFS; ORR; 
DOR; OS; patient-reported outcomes; safety.",False
NCT01984242,29867230,McDermott DF et al,2018,"Investigator-assessed PFS; ORR; 
DOR; OS; patient-reported outcomes; safety.",False
NCT02231749,29562145,Motzer RJ et al,2018,"ORR, PFS and OS in 
intention-to-treat population; incidence rate of adverse events among all treated patients.",False
NCT02231749,31427204,Motzer RJ et al,2019,"ORR, PFS and OS in intention-to-treat population; incidence rate of adverse events among all treated patients.",False
NCT02420821,31079938,Rini BI et al,2019,OS in PD-L1 positive population; PFS in the ITT population; proportion of patients who achieved an objective response; duration of response; patient-reported outcomes; safety,False
NCT02684006,30779531,Motzer RJ et al,2019,PFS and OS irrespective of PD-L1 expression; PFS as determined by investigator assessment; ORR; adverse events; pharmacokinetic measures; tumor tissue biomarkers; patient-reported outcomes.,False
NCT02853331,30779529,Rini BI et al,2019,ORR; duration of response; safety,False
NCT01668784,32673417,Motzer RJ et al,2020,"ORR; PFS, association between overall survival and tumor expression of PD-L1; incidence of adverse events.",False
NCT02231749,32661118,Motzer RJ et al,2020,"ORR, PFS and OS in ITT population; incidence rate of AEs.",False
NCT02684006,32339648,Choueiri TK et al,2020,PFS and OS irrespective of PD-L1 expression; PFS as determined by investigator assessment; ORR; adverse events; pharmacokinetic measures; tumor tissue biomarkers; patient-reported outcomes.,False
NCT02853331,33284113,Powles T et al.,2020,"ORR, DoR, safety, tolerability",False
NCT02811861,33616314,Motzer R et al,2021,OS; ORR; safety; investigator-assessed PFS,False
NCT03141177,33657295,Choueiri TK et al,2021,OS; ORR; safety,False
