NCT,PMID,Authors,Year,Number of arms,arm_category
NCT01668784,26406148,Motzer RJ et al,2015,2,2-arm
NCT01984242,29867230,McDermott DF et al,2018,3,≥3-arm
NCT01984242,29867230,McDermott DF et al,2018,3,≥3-arm
NCT02231749,29562145,Motzer RJ et al,2018,2,2-arm
NCT02231749,31427204,Motzer RJ et al,2019,2,2-arm
NCT02420821,31079938,Rini BI et al,2019,2,2-arm
NCT02684006,30779531,Motzer RJ et al,2019,2,2-arm
NCT02853331,30779529,Rini BI et al,2019,2,2-arm
NCT01668784,32673417,Motzer RJ et al,2020,2,2-arm
NCT02231749,32661118,Motzer RJ et al,2020,2,2-arm
NCT02684006,32339648,Choueiri TK et al,2020,2,2-arm
NCT02853331,33284113,Powles T et al.,2020,2,2-arm
NCT02811861,33616314,Motzer R et al,2021,3,≥3-arm
NCT03141177,33657295,Choueiri TK et al,2021,2,2-arm
