NCT,PMID,Authors,Year,Control regimen,control_drugs
NCT00527735,22858559,Reck M et al,2012,Placebo+Paclitaxel+Carboplatin,"[""carboplatin"", ""paclitaxel""]"
NCT00527735,22858559,Reck M et al,2012,Placebo+Paclitaxel+Carboplatin,"[""carboplatin"", ""paclitaxel""]"
NCT01450761,27458307,Reck M et al,2016,Placebo+Etoposide+Platinum agent ,"[""etoposide""]"
NCT03043872,31590988,Paz-Ares L et al,2019,Platinum+Etoposide,"[""etoposide""]"
NCT03043872,31590988,Paz-Ares L et al,2019,Platinum+Etoposide,"[""etoposide""]"
NCT03059667,30664989,Pujol JL et al,2019,Etoposide+Carboplatin/Topotecan,"[""carboplatin"", ""etoposide"", ""topotecan""]"
NCT02763579,31959349,Mansfield AS et al,2020,Placebo+Carboplatin+Etoposide,"[""carboplatin"", ""etoposide""]"
NCT03043872,33285097,Goldman JW et al,2020,Platinum+Etoposide,"[""etoposide""]"
NCT03043872,33285097,Goldman JW et al,2020,Platinum+Etoposide,"[""etoposide""]"
NCT03066778,32468956,Rudin CM et al,2020,Placebo+Etoposide+Platinum agent,"[""etoposide""]"
NCT02481830,33539946,Spigel DR et al,2021,Chemotherapy,[]
