NCT,PMID,Authors,Year,Type of combination,combo_type_norm
NCT01984242,29867230,McDermott DF et al,2018,ICI+Chemo,ICI+Chemo
NCT02231749,29562145,Motzer RJ et al,2018,ICI+ICI,ICI+ICI
NCT02231749,31427204,Motzer RJ et al,2019,ICI+ICI,ICI+ICI
NCT02684006,30779531,Motzer RJ et al,2019,ICI+TKI,ICI+TKI
NCT02853331,30779529,Rini BI et al,2019,ICI+TKI,ICI+TKI
NCT02420821,31079938,Rini BI et al,2019,ICI+Anti-VEGF,ICI+Anti-VEGF
NCT02231749,32661118,Motzer RJ et al,2020,ICI+ICI,ICI+ICI
NCT02684006,32339648,Choueiri TK et al,2020,ICI+TKI,ICI+TKI
NCT02853331,33284113,Powles T et al.,2020,ICI+TKI,ICI+TKI
NCT02811861,33616314,Motzer R et al,2021,ICI+TKI,ICI+TKI
NCT03141177,33657295,Choueiri TK et al,2021,ICI+TKI,ICI+TKI
