NCT,Authors,Year,PMID,Primary endpoint,Secondary endpoint,Endpoint Type
NCT02425891,Schmid P et al,2018,30345906,OS+PFS,"investigator-assessed RECIST v1.1 ORR,  DoR",Primary
NCT02685059,Loibl S et al,2019,31095287,Path CR,"response rate by other path CR definitions (ypT0/is ypN0, ypT0/is ypN0/þ, and ypN0) and by clinical and imaging assessment; rate of breast conserving surgery and axilla lymph node dissection; efficacy in predefined subgroups according to centrally assessed sTILs [low ( 10%), intermediate (11%–59%), high ( 60%)]",Primary
NCT01042379,Nanda R et al,2019,32053137,Path CR,residual cancer burden (RCB) and 3-year event-free and distant recurrence-free survival.,Primary
NCT02425891,Schmid P et al,2019,31786121,OS+PFS,"investigator-assessed RECIST v1.1 ORR,  DoR",Primary
NCT03036488,Schmid P et al,2020,32101663,Path CR+EFS,"pathological complete response, a pathological complete response according to all definitions in patients with PD-L1–positive tumors, eventfree survival among patients with PD-L1–positive tumors, and OS among all patients and patients with PD-L1–positive tumors.",Primary
NCT03051659,Tolaney SM et al,2020,32880602,PFS,"PFS per irRECIST, ORR, OS, DoR, clinical benefit rate, safety, tolerability",Primary
NCT02819518,Cortes J et al,2020,33278935,OS+PFS,"ORR, DoR, DCR",Primary
NCT03197935,Mittendorf EA et al,2020,32966830,Path CR in ITT+Path CR in PD-L1+,"OS, Event free survival , disease free survival",Primary
NCT02924883,Emens LA et al,2020,33002436,PFS,"OS, ORR, DOR",Primary
NCT02299999,Bachelot T et al,2021,33462450,PFS,OS,Primary
NCT02555657,Winer PE et al,2021,33676601,OS,PFS; ORR; DCR; DoR; safety,Primary
