NCT,PMID,combination_type,Authors,Year
NCT01585987,28655793,OTHER/UNKNOWN,Bang YJ et al,2017
NCT02267343,28993052,OTHER/UNKNOWN,Kang YK et al,2017
NCT02267343,28993052,OTHER/UNKNOWN,Chen LT et al,2019
NCT02625623,30052729,OTHER/UNKNOWN,Bang YJ et al,2018
NCT02370498,29880231,OTHER/UNKNOWN,Shitara K et al,2018
NCT02267343,31863227,OTHER/UNKNOWN,Kang YK et al,2017
NCT02267343,31863227,OTHER/UNKNOWN,Chen LT et al,2019
NCT02494583,32880601,OTHER/UNKNOWN,Shitara K et al,2020
NCT02494583,32880601,OTHER/UNKNOWN,Shitara K et al (1),2020
NCT02494583,32880601,ICI+Chemo,Shitara K et al,2020
NCT02494583,32880601,ICI+Chemo,Shitara K et al (1),2020
NCT02625610,33197226,ICI+Chemo,Moehler M et al,2020
