NCT,PMID,follow_up_type,Authors,Year
NCT00527735,22547592,unknown,Lynch TJ et al,2012
NCT00527735,22547592,unknown,Lynch TJ et al (1),2012
NCT00527735,22547592,unknown,Reck M et al,2012
NCT00527735,22547592,unknown,Reck M et al (1),2012
NCT00527735,22547592,unknown,Lynch TJ et al,2012
NCT00527735,22547592,unknown,Lynch TJ et al (1),2012
NCT00527735,22547592,unknown,Reck M et al,2012
NCT00527735,22547592,unknown,Reck M et al (1),2012
NCT00527735,22858559,unknown,Lynch TJ et al,2012
NCT00527735,22858559,unknown,Lynch TJ et al (1),2012
NCT00527735,22858559,unknown,Reck M et al,2012
NCT00527735,22858559,unknown,Reck M et al (1),2012
NCT00527735,22858559,unknown,Lynch TJ et al,2012
NCT00527735,22858559,unknown,Lynch TJ et al (1),2012
NCT00527735,22858559,unknown,Reck M et al,2012
NCT00527735,22858559,unknown,Reck M et al (1),2012
NCT01673867,26412456,unknown,Borghaei  H et al,2015
NCT01642004,26028407,unknown,Brahmer J et al,2015
NCT01905657,26712084,unknown,Herbst RS et al,2016
NCT01905657,26712084,unknown,Herbst RS et al (1),2016
NCT01905657,26712084,unknown,Herbst RS et al,2016
NCT01905657,26712084,unknown,Herbst RS et al (1),2016
NCT01903993,26970723,unknown,Fehrenbacher L et al,2016
NCT01903993,26970723,unknown,Mazieres J et al,2020
NCT01450761,27458307,unknown,Reck M et al,2016
NCT02041533,28636851,unknown,Carbone DP et al,2017
NCT01285609,28854067,unknown,Govindan R et al,2017
NCT02125461,28885881,unknown,Antonia SJ et al,2017
NCT02125461,28885881,unknown,Antonia SJ et al,2018
NCT02125461,30280658,unknown,Antonia SJ et al,2017
NCT02125461,30280658,unknown,Antonia SJ et al,2018
NCT02395172,30262187,unknown,Barlesi F et al,2018
NCT02039674,27745820,unknown,Langer JC et al,2016
NCT02039674,27745820,unknown,Borghaei  H et al,2018
NCT02039674,30138764,unknown,Langer JC et al,2016
NCT02039674,30138764,unknown,Borghaei  H et al,2018
NCT02008227,27979383,unknown,Rittmeyer A et al,2017
NCT02008227,27979383,unknown,Fehrenbacher L et al,2018
NCT02008227,27979383,unknown,Mazieres J et al,2020
NCT02008227,29777823,unknown,Rittmeyer A et al,2017
NCT02008227,29777823,unknown,Fehrenbacher L et al,2018
NCT02008227,29777823,unknown,Mazieres J et al,2020
NCT02578680,29658856,unknown,Gandhi L et al,2018
NCT02763579,30280641,unknown,Horn L et al,2018
NCT02763579,30280641,unknown,Mansfield AS et al,2020
NCT02775435,30280635,unknown,Paz-Ares L et al,2018
NCT02366143,29863955,unknown,Socinski MA et al,2018
NCT02366143,29863955,unknown,Socinski MA et al (1),2018
NCT02366143,29863955,unknown,Socinski MA et al,2018
NCT02366143,29863955,unknown,Socinski MA et al (1),2018
NCT02477826,29658845,unknown,Hellmann MD et al,2018
NCT02477826,29658845,unknown,Hellmann MD et al (1),2018
NCT02477826,29658845,unknown,Hellmann MD et al,2019
NCT02477826,29658845,unknown,Hellmann MD et al (1),2019
NCT02477826,29658845,unknown,Hellmann MD et al (2),2019
NCT02477826,29658845,unknown,Hellmann MD et al,2018
NCT02477826,29658845,unknown,Hellmann MD et al (1),2018
NCT02477826,29658845,unknown,Hellmann MD et al,2019
NCT02477826,29658845,unknown,Hellmann MD et al (1),2019
NCT02477826,29658845,unknown,Hellmann MD et al (2),2019
NCT02477826,31562796,unknown,Hellmann MD et al,2018
NCT02477826,31562796,unknown,Hellmann MD et al (1),2018
NCT02477826,31562796,unknown,Hellmann MD et al,2019
NCT02477826,31562796,unknown,Hellmann MD et al (1),2019
NCT02477826,31562796,unknown,Hellmann MD et al (2),2019
NCT02477826,31562796,unknown,Hellmann MD et al,2018
NCT02477826,31562796,unknown,Hellmann MD et al (1),2018
NCT02477826,31562796,unknown,Hellmann MD et al,2019
NCT02477826,31562796,unknown,Hellmann MD et al (1),2019
NCT02477826,31562796,unknown,Hellmann MD et al (2),2019
NCT02477826,31562796,unknown,Hellmann MD et al,2018
NCT02477826,31562796,unknown,Hellmann MD et al (1),2018
NCT02477826,31562796,unknown,Hellmann MD et al,2019
NCT02477826,31562796,unknown,Hellmann MD et al (1),2019
NCT02477826,31562796,unknown,Hellmann MD et al (2),2019
NCT02220894,30955977,unknown,Mok TSK et al,2019
NCT03059667,30664989,unknown,Pujol JL et al,2019
NCT02142738,30620668,unknown,Reck M et al,2019
NCT02142738,30620668,unknown,Reck M et al,2016
NCT02367781,31122901,unknown,West H et al,2019
NCT02613507,30659987,unknown,Wu YL et al,2019
NCT02454933,30763730,unknown,Yang JCH et al,2019
NCT03043872,31590988,unknown,Paz-Ares L et al,2019
NCT03043872,31590988,unknown,Paz-Ares L et al (1),2019
NCT03043872,31590988,unknown,Goldman JW et al,2020
NCT03043872,31590988,unknown,Goldman JW et al (1),2020
NCT03043872,31590988,unknown,Paz-Ares L et al,2019
NCT03043872,31590988,unknown,Paz-Ares L et al (1),2019
NCT03043872,31590988,unknown,Goldman JW et al,2020
NCT03043872,31590988,unknown,Goldman JW et al (1),2020
NCT02763579,31959349,unknown,Horn L et al,2018
NCT02763579,31959349,unknown,Mansfield AS et al,2020
NCT02352948,32201234,unknown,Planchard D et al,2020
NCT02352948,32201234,unknown,Planchard D et al (1),2020
NCT02352948,32201234,unknown,Planchard D et al (2),2020
NCT02352948,32201234,unknown,Planchard D et al,2020
NCT02352948,32201234,unknown,Planchard D et al (1),2020
NCT02352948,32201234,unknown,Planchard D et al (2),2020
NCT02352948,32201234,unknown,Planchard D et al,2020
NCT02352948,32201234,unknown,Planchard D et al (1),2020
NCT02352948,32201234,unknown,Planchard D et al (2),2020
NCT03066778,32468956,unknown,Rudin CM et al,2020
NCT02453282,32271377,unknown,Rizvi NA et al,2020
NCT02453282,32271377,unknown,Rizvi NA et al (1),2020
NCT02453282,32271377,unknown,Rizvi NA et al,2020
NCT02453282,32271377,unknown,Rizvi NA et al (1),2020
NCT02367794,32302702,unknown,Jotte R et al,2020
NCT02367794,32302702,unknown,Jotte R et al (1),2020
NCT02367794,32302702,unknown,Jotte R et al,2020
NCT02367794,32302702,unknown,Jotte R et al (1),2020
NCT02574598,32271354,unknown,Arrieta O et al,2020
NCT02142738,27718847,unknown,Reck M et al,2019
NCT02142738,27718847,unknown,Reck M et al,2016
NCT02409342,32997907,unknown,Herbst RS et al.,2020
NCT03043872,33285097,unknown,Paz-Ares L et al,2019
NCT03043872,33285097,unknown,Paz-Ares L et al (1),2019
NCT03043872,33285097,unknown,Goldman JW et al,2020
NCT03043872,33285097,unknown,Goldman JW et al (1),2020
NCT03043872,33285097,unknown,Paz-Ares L et al,2019
NCT03043872,33285097,unknown,Paz-Ares L et al (1),2019
NCT03043872,33285097,unknown,Goldman JW et al,2020
NCT03043872,33285097,unknown,Goldman JW et al (1),2020
NCT01903993,33166718,unknown,Fehrenbacher L et al,2016
NCT01903993,33166718,unknown,Mazieres J et al,2020
NCT02008227,33166718,unknown,Rittmeyer A et al,2017
NCT02008227,33166718,unknown,Fehrenbacher L et al,2018
NCT02008227,33166718,unknown,Mazieres J et al,2020
NCT03215706,33476593,unknown,Paz-Ares L et al,2021
NCT02481830,33539946,unknown,Spigel DR et al,2021
NCT02538666,33683919,unknown,Owonikoko TK et al,2021
NCT02538666,33683919,unknown,Owonikoko TK et al,2021
NCT02538666,33683919,unknown,Owonikoko TK et al,2021
NCT02538666,33683919,unknown,Owonikoko TK et al,2021
NCT03088540,33581821,unknown,Sezer A et al,2021
NCT02852083,33796020,unknown,Heudobler D et al,2021
