NCT,PMID,endpoint_type,Authors,Year
NCT01585987,28655793,both,Bang YJ et al,2017
NCT02267343,28993052,both,Kang YK et al,2017
NCT02267343,28993052,both,Chen LT et al,2019
NCT02625623,30052729,both,Bang YJ et al,2018
NCT02370498,29880231,both,Shitara K et al,2018
NCT02267343,31863227,both,Kang YK et al,2017
NCT02267343,31863227,both,Chen LT et al,2019
NCT02569242,31582355,both,Kato K et al,2019
NCT02494583,32880601,both,Shitara K et al,2020
NCT02494583,32880601,both,Shitara K et al (1),2020
NCT02494583,32880601,both,Shitara K et al,2020
NCT02494583,32880601,both,Shitara K et al (1),2020
NCT02625610,33197226,both,Moehler M et al,2020
NCT02564263,33026938,both,Kojima T et al.,2020
