nct,author,year,originial_publication_or_follow_up,is_pd_l1_positivity_inclusion_criteria,class_of_ici,cancer_type,name_of_ici,trial_phase
NCT01673867,Borghaei  H et al,2015,Original publication,No,PD1,Non-Small Cell Lung,Nivolumab,Phase 3
NCT01642004,Brahmer J et al,2015,Original publication,No,PD1,Non-Small Cell Lung,Nivolumab,Phase 3
NCT02578680,Gandhi L et al,2018,Original publication,No,PD1,Non-Small Cell Lung,Pembrolizumab,Phase 3
NCT02775435,Paz-Ares L et al,2018,Original publication,No,PD1,Non-Small Cell Lung,Pembrolizumab,Phase 3
NCT02477826,Hellmann MD et al (1),2018,Original publication,No,PD1,Non-Small Cell Lung,Nivolumab,Phase 3
NCT02477826,Hellmann MD et al (1),2019,Follow-up,No,PD1,Non-Small Cell Lung,Nivolumab,Phase 3
NCT02477826,Hellmann MD et al (2),2019,Follow-up,No,PD1,Non-Small Cell Lung,Nivolumab,Phase 3
NCT02613507,Wu YL et al,2019,Original publication,No,PD1,Non-Small Cell Lung,Nivolumab,Phase 3
NCT02574598,Arrieta O et al,2020,Original publication,No,PD1,Non-Small Cell Lung,Pembrolizumab,Phase 2
NCT02852083,Heudobler D et al,2021,Original publication,No,PD1,Non-Small Cell Lung,Nivolumab,Phase 2
